=== discovery scaling, 2026-09-26T21:29:08+09:00, core d732139b, warm-up 5s, window 30s ===
N=2 E=0 rep1 | ok | rx_bytes_per_node_s=119 rx_pkts_per_node_s=1 tx_bytes_per_node_s=70 tx_pkts_per_node_s=1
N=2 E=4 rep1 | ok | rx_bytes_per_node_s=119 rx_pkts_per_node_s=1 tx_bytes_per_node_s=71 tx_pkts_per_node_s=1
N=2 E=32 rep1 | ok | rx_bytes_per_node_s=118 rx_pkts_per_node_s=1 tx_bytes_per_node_s=70 tx_pkts_per_node_s=1
N=8 E=0 rep1 | ok | rx_bytes_per_node_s=543 rx_pkts_per_node_s=7 tx_bytes_per_node_s=77 tx_pkts_per_node_s=1
N=8 E=4 rep1 | ok | rx_bytes_per_node_s=533 rx_pkts_per_node_s=7 tx_bytes_per_node_s=75 tx_pkts_per_node_s=1
N=8 E=32 rep1 | ok | rx_bytes_per_node_s=538 rx_pkts_per_node_s=7 tx_bytes_per_node_s=78 tx_pkts_per_node_s=1
N=16 E=0 rep1 | ok | rx_bytes_per_node_s=1110 rx_pkts_per_node_s=15 tx_bytes_per_node_s=87 tx_pkts_per_node_s=1
N=16 E=4 rep1 | ok | rx_bytes_per_node_s=1101 rx_pkts_per_node_s=15 tx_bytes_per_node_s=86 tx_pkts_per_node_s=1
N=16 E=32 rep1 | ok | rx_bytes_per_node_s=1085 rx_pkts_per_node_s=15 tx_bytes_per_node_s=71 tx_pkts_per_node_s=1
N=2 E=0 rep2 | ok | rx_bytes_per_node_s=101 rx_pkts_per_node_s=1 tx_bytes_per_node_s=70 tx_pkts_per_node_s=1
N=2 E=4 rep2 | ok | rx_bytes_per_node_s=121 rx_pkts_per_node_s=1 tx_bytes_per_node_s=70 tx_pkts_per_node_s=1
N=2 E=32 rep2 | ok | rx_bytes_per_node_s=120 rx_pkts_per_node_s=1 tx_bytes_per_node_s=71 tx_pkts_per_node_s=1
N=8 E=0 rep2 | ok | rx_bytes_per_node_s=531 rx_pkts_per_node_s=7 tx_bytes_per_node_s=72 tx_pkts_per_node_s=1
N=8 E=4 rep2 | ok | rx_bytes_per_node_s=535 rx_pkts_per_node_s=7 tx_bytes_per_node_s=77 tx_pkts_per_node_s=1
N=8 E=32 rep2 | ok | rx_bytes_per_node_s=546 rx_pkts_per_node_s=7 tx_bytes_per_node_s=79 tx_pkts_per_node_s=1
N=16 E=0 rep2 | ok | rx_bytes_per_node_s=1103 rx_pkts_per_node_s=15 tx_bytes_per_node_s=87 tx_pkts_per_node_s=1
N=16 E=4 rep2 | ok | rx_bytes_per_node_s=1090 rx_pkts_per_node_s=15 tx_bytes_per_node_s=75 tx_pkts_per_node_s=1
N=16 E=32 rep2 | ok | rx_bytes_per_node_s=1105 rx_pkts_per_node_s=15 tx_bytes_per_node_s=90 tx_pkts_per_node_s=1
=== done ===
