=== liveliness L3, 2026-09-26T22:54:21+09:00, before ccbacb36, after af87e150, 3 reps x 120s, loss 5% both ways ===
before data lease=2.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1253 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
after data lease=2.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1258 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=0 departed=1 detect_latency_ms=-1.000 announce_age_at_detect_ms=1998.702 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790431158032127550 detected_ns=1790431160030829297 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before data lease=2.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1278 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
after data lease=2.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1257 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=51010.588 announce_age_at_detect_ms=1998.264 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790431617153083603 detected_ns=1790431619151347993 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before data lease=2.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1264 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
after data lease=2.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1238 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=7001.599 announce_age_at_detect_ms=1998.917 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790432032244121234 detected_ns=1790432034243038310 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=1001.852 announce_age_at_detect_ms=1000.013 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790432036498080094 detected_ns=1790432037498093100 watch_node=-1 foreign_departures=0 foreign_nodes=none
=== done ===
