=== liveliness L3, 2026-09-26T23:30:49+09:00, before af87e150, after 39570d7a, 10 reps x 120s, loss 5% both ways ===
before idle lease=1.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep1 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=69701.553 announce_age_at_detect_ms=1000.058 gap_at_departure_ms=-0.001 departed_node=1 node_seen_before=1 update_last_seen_ns=1790433394535098890 detected_ns=1790433395535157183 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep2 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=23013.351 announce_age_at_detect_ms=1000.009 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790433555206099956 detected_ns=1790433556206108732 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep3 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep4 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=1 detect_latency_ms=46024.629 announce_age_at_detect_ms=1000.059 gap_at_departure_ms=-0.000 departed_node=1 node_seen_before=1 update_last_seen_ns=1790433738825130560 detected_ns=1790433739825189186 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep4 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep5 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
after idle lease=1.0 rep5 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
before idle lease=1.0 rep6 | ok | framework=tickle scenario=liveliness_loss_detection role=server recv=1 departed=0 detect_latency_ms=-1.000 announce_age_at_detect_ms=-1.000 gap_at_departure_ms=0.000 departed_node=0 node_seen_before=0 update_last_seen_ns=0 detected_ns=0 watch_node=-1 foreign_departures=0 foreign_nodes=none
