Attaching 17 probes...
# pong_rx_split v2 tgid 2986739 irq 108
S irq2napi=5611 enq=14852 rd=15741 wk_rx=451145 sw_rx=457220 wait=0 rx=28944 rxtid=2986748 wk_ex=0 sw_ex=0 send=1663768
S irq2napi=5481 enq=10759 rd=11537 wk_rx=0 sw_rx=0 wait=0 rx=23407 rxtid=2986750 wk_ex=39759 sw_ex=0 send=79481
S irq2napi=6166 enq=14796 rd=15870 wk_rx=1037272 sw_rx=1044179 wait=0 rx=28500 rxtid=2986750 wk_ex=1059012 sw_ex=1065642 send=1098086
S irq2napi=5963 enq=14870 rd=15796 wk_rx=0 sw_rx=0 wait=0 rx=26537 rxtid=2986750 wk_ex=38611 sw_ex=0 send=72888
S irq2napi=6148 enq=11352 rd=12333 wk_rx=0 sw_rx=0 wait=0 rx=24667 rxtid=2986750 wk_ex=39444 sw_ex=46518 send=70778
S irq2napi=5593 enq=11982 rd=12926 wk_rx=0 sw_rx=0 wait=0 rx=24056 rxtid=2986750 wk_ex=41167 sw_ex=0 send=71296
S irq2napi=5945 enq=13074 rd=14222 wk_rx=0 sw_rx=0 wait=0 rx=26518 rxtid=2986750 wk_ex=42222 sw_ex=49351 send=77758
S irq2napi=6055 enq=12556 rd=13482 wk_rx=0 sw_rx=0 wait=0 rx=24945 rxtid=2986750 wk_ex=37685 sw_ex=0 send=67907
S irq2napi=5370 enq=10297 rd=11130 wk_rx=0 sw_rx=0 wait=0 rx=22056 rxtid=2986750 wk_ex=33389 sw_ex=41204 send=62870
S irq2napi=5685 enq=10297 rd=11241 wk_rx=0 sw_rx=0 wait=0 rx=22167 rxtid=2986750 wk_ex=32315 sw_ex=0 send=58889
S irq2napi=5667 enq=10741 rd=11611 wk_rx=0 sw_rx=0 wait=0 rx=27463 rxtid=2986750 wk_ex=37815 sw_ex=45111 send=69222
S irq2napi=5797 enq=10407 rd=11222 wk_rx=0 sw_rx=0 wait=0 rx=21815 rxtid=2986750 wk_ex=32518 sw_ex=0 send=69926
S irq2napi=5592 enq=10074 rd=10907 wk_rx=0 sw_rx=0 wait=0 rx=21833 rxtid=2986750 wk_ex=32722 sw_ex=0 send=65740
S irq2napi=6111 enq=13167 rd=14278 wk_rx=0 sw_rx=0 wait=0 rx=25778 rxtid=2986750 wk_ex=36611 sw_ex=44259 send=69963
S irq2napi=5797 enq=11055 rd=12074 wk_rx=0 sw_rx=0 wait=0 rx=23907 rxtid=2986750 wk_ex=34962 sw_ex=0 send=64999
S irq2napi=9167 enq=24185 rd=25592 wk_rx=0 sw_rx=0 wait=0 rx=44500 rxtid=2986750 wk_ex=62611 sw_ex=71314 send=116666
S irq2napi=5871 enq=11833 rd=12814 wk_rx=0 sw_rx=0 wait=0 rx=24796 rxtid=2986750 wk_ex=37296 sw_ex=0 send=75888
S irq2napi=5630 enq=11018 rd=11944 wk_rx=0 sw_rx=0 wait=0 rx=23389 rxtid=2986750 wk_ex=34851 sw_ex=43370 send=69629
S irq2napi=5574 enq=10000 rd=10851 wk_rx=0 sw_rx=0 wait=0 rx=21499 rxtid=2986750 wk_ex=0 sw_ex=0 send=59814
S irq2napi=6741 enq=14537 rd=15759 wk_rx=0 sw_rx=0 wait=0 rx=27055 rxtid=2986750 wk_ex=39388 sw_ex=46500 send=73499
S irq2napi=5704 enq=11315 rd=12222 wk_rx=0 sw_rx=0 wait=0 rx=23593 rxtid=2986750 wk_ex=34722 sw_ex=0 send=67018
S irq2napi=6092 enq=12333 rd=13203 wk_rx=0 sw_rx=0 wait=0 rx=23926 rxtid=2986750 wk_ex=34777 sw_ex=0 send=71833
S irq2napi=6278 enq=13722 rd=14740 wk_rx=0 sw_rx=0 wait=0 rx=26666 rxtid=2986750 wk_ex=39648 sw_ex=46796 send=74444
S irq2napi=5908 enq=12130 rd=13093 wk_rx=0 sw_rx=0 wait=0 rx=24186 rxtid=2986750 wk_ex=35463 sw_ex=0 send=75611
S irq2napi=6203 enq=20241 rd=21185 wk_rx=0 sw_rx=0 wait=0 rx=32667 rxtid=2986750 wk_ex=43333 sw_ex=50296 send=73204
S irq2napi=5944 enq=11333 rd=12222 wk_rx=0 sw_rx=0 wait=0 rx=24314 rxtid=2986750 wk_ex=0 sw_ex=0 send=65111
S irq2napi=6037 enq=11759 rd=12648 wk_rx=0 sw_rx=0 wait=0 rx=24074 rxtid=2986750 wk_ex=35518 sw_ex=42259 send=74536
S irq2napi=5686 enq=10556 rd=11407 wk_rx=0 sw_rx=0 wait=0 rx=22130 rxtid=2986750 wk_ex=32796 sw_ex=0 send=62463
S irq2napi=5593 enq=10112 rd=10945 wk_rx=0 sw_rx=0 wait=0 rx=21352 rxtid=2986750 wk_ex=31556 sw_ex=38852 send=60019
S irq2napi=5574 enq=9814 rd=10666 wk_rx=0 sw_rx=0 wait=0 rx=20777 rxtid=2986750 wk_ex=0 sw_ex=0 send=57722
S irq2napi=5926 enq=10907 rd=11796 wk_rx=0 sw_rx=0 wait=0 rx=22370 rxtid=2986750 wk_ex=32463 sw_ex=39889 send=64759
S irq2napi=5778 enq=10185 rd=11074 wk_rx=0 sw_rx=0 wait=0 rx=21814 rxtid=2986750 wk_ex=32092 sw_ex=0 send=61925
S irq2napi=7537 enq=20629 rd=22203 wk_rx=0 sw_rx=31055 wait=0 rx=34611 rxtid=2986750 wk_ex=0 sw_ex=51851 send=81407
