Attaching 17 probes...
# pong_rx_split v2 tgid 2991553 irq 108
S irq2napi=6167 enq=17315 rd=18297 wk_rx=391258 sw_rx=396702 wait=0 rx=33296 rxtid=2991562 wk_ex=0 sw_ex=0 send=1810769
S irq2napi=5666 enq=9926 rd=10778 wk_rx=0 sw_rx=0 wait=0 rx=22778 rxtid=2991564 wk_ex=36370 sw_ex=0 send=102333
S irq2napi=5740 enq=10852 rd=11741 wk_rx=1494862 sw_rx=1501436 wait=0 rx=22944 rxtid=2991564 wk_ex=1514066 sw_ex=1519862 send=1554288
S irq2napi=5981 enq=12129 rd=13037 wk_rx=0 sw_rx=0 wait=0 rx=23740 rxtid=2991564 wk_ex=37555 sw_ex=0 send=72666
S irq2napi=5741 enq=10667 rd=11537 wk_rx=0 sw_rx=0 wait=0 rx=21185 rxtid=2991564 wk_ex=31500 sw_ex=0 send=63092
S irq2napi=5704 enq=10797 rd=11667 wk_rx=0 sw_rx=18111 wait=0 rx=22648 rxtid=2991564 wk_ex=0 sw_ex=43537 send=71741
S irq2napi=5815 enq=9593 rd=10408 wk_rx=0 sw_rx=0 wait=0 rx=19852 rxtid=2991564 wk_ex=30963 sw_ex=0 send=65796
S irq2napi=6111 enq=13333 rd=14407 wk_rx=0 sw_rx=0 wait=0 rx=24018 rxtid=2991564 wk_ex=35240 sw_ex=0 send=70222
S irq2napi=5760 enq=9741 rd=10593 wk_rx=0 sw_rx=0 wait=0 rx=20278 rxtid=2991564 wk_ex=31204 sw_ex=38352 send=71703
S irq2napi=5963 enq=11019 rd=11908 wk_rx=0 sw_rx=0 wait=0 rx=21185 rxtid=2991564 wk_ex=31574 sw_ex=0 send=64889
S irq2napi=5815 enq=10704 rd=11741 wk_rx=0 sw_rx=0 wait=0 rx=22630 rxtid=2991564 wk_ex=33741 sw_ex=0 send=66259
S irq2napi=5593 enq=9796 rd=10611 wk_rx=0 sw_rx=0 wait=0 rx=21462 rxtid=2991564 wk_ex=32129 sw_ex=39296 send=65907
S irq2napi=5796 enq=11445 rd=12352 wk_rx=0 sw_rx=18686 wait=0 rx=21889 rxtid=2991564 wk_ex=0 sw_ex=38741 send=65648
