=== rmw cross-host RTT, 2026-09-26T23:55:35+09:00, SHA 763125c960708c09fe377eee69a4dd11434b5f5e, 2 reps, msgs: bench, spin arms: off, trace: 0, waits: block, poll sleeps: default, sysstamp arms: off, bpf arms: off on, executor-poll arms: -, rmws: rmw_tickle rmw_fastrtps_cpp rmw_cyclonedds_cpp ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 763125c960708c09fe377eee69a4dd11434b5f5e on both rpis ---
built on tickle-testbed-rpi-0 at 763125c9
built on tickle-testbed-rpi-1 at 763125c9
--- bpftrace arm: pong_rx_split.bt md5 a9262ac0f4aa, eth0 IRQ 108 ---
rmw_tickle bench best_effort rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.227 rtt_avg_ms=0.247 rtt_max_ms=0.603 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34307369 pong_maxrss_kb=11792
rmw_fastrtps_cpp bench best_effort rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.287 rtt_avg_ms=0.320 rtt_max_ms=0.654 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23756  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56900908 pong_maxrss_kb=23624
rmw_cyclonedds_cpp bench best_effort rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.253 rtt_avg_ms=0.270 rtt_max_ms=0.386 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=42565671 pong_maxrss_kb=14520
rmw_tickle bench best_effort rep1 wait=block bpf=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.259 rtt_avg_ms=0.278 rtt_max_ms=0.609 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=39670232 pong_maxrss_kb=11776
rmw_fastrtps_cpp bench best_effort rep1 wait=block bpf=on | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.325 rtt_avg_ms=0.355 rtt_max_ms=0.687 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=23896  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61068535 pong_maxrss_kb=23624
rmw_cyclonedds_cpp bench best_effort rep1 wait=block bpf=on | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.281 rtt_avg_ms=0.304 rtt_max_ms=0.411 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=47505724 pong_maxrss_kb=14524
rmw_tickle bench reliable rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.239 rtt_avg_ms=0.251 rtt_max_ms=0.603 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34769056 pong_maxrss_kb=11824
rmw_fastrtps_cpp bench reliable rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.300 rtt_avg_ms=0.340 rtt_max_ms=0.648 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23768  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60039628 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.252 rtt_avg_ms=0.268 rtt_max_ms=0.804 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=48167322 pong_maxrss_kb=14532
rmw_tickle bench reliable rep1 wait=block bpf=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.261 rtt_avg_ms=0.278 rtt_max_ms=0.673 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=39814078 pong_maxrss_kb=11816
rmw_fastrtps_cpp bench reliable rep1 wait=block bpf=on | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.330 rtt_avg_ms=0.365 rtt_max_ms=0.706 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23788  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=63426866 pong_maxrss_kb=23620
