=== rmw cross-host RTT, 2026-09-26T16:31:46+09:00, SHA 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8, 3 reps, msgs: bench array1k, spin arms: off, trace: 0 ===
--- SKIP_BUILD: both rpis already at 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8 with binaries ---
rmw_tickle bench best_effort rep1 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.473 rtt_avg_ms=0.516 rtt_max_ms=0.774 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.03 pong_maxrss_kb=11700
rmw_fastrtps_cpp bench best_effort rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.477 rtt_max_ms=0.765 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=23892  pong_cpu_s=0.05 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep1 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.374 rtt_avg_ms=0.424 rtt_max_ms=0.529 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_cpu_s=0.03 pong_maxrss_kb=14528
rmw_tickle bench reliable rep1 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.461 rtt_avg_ms=0.504 rtt_max_ms=0.743 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_maxrss_kb=11728
rmw_fastrtps_cpp bench reliable rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.437 rtt_avg_ms=0.487 rtt_max_ms=0.791 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24024  pong_cpu_s=0.05 pong_maxrss_kb=23616
rmw_cyclonedds_cpp bench reliable rep1 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.394 rtt_avg_ms=0.433 rtt_max_ms=0.940 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_cpu_s=0.04 pong_maxrss_kb=14536
rmw_tickle array1k best_effort rep1 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.505 rtt_max_ms=0.907 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_maxrss_kb=11700
rmw_fastrtps_cpp array1k best_effort rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.447 rtt_avg_ms=0.500 rtt_max_ms=0.844 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=24052  pong_cpu_s=0.05 pong_maxrss_kb=23720
rmw_cyclonedds_cpp array1k best_effort rep1 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.443 rtt_max_ms=0.698 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14976  pong_cpu_s=0.04 pong_maxrss_kb=14536
rmw_tickle array1k reliable rep1 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.473 rtt_avg_ms=0.523 rtt_max_ms=0.837 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_maxrss_kb=11712
rmw_fastrtps_cpp array1k reliable rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.471 rtt_avg_ms=0.526 rtt_max_ms=0.820 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24036  pong_cpu_s=0.05 pong_maxrss_kb=23736
