=== rmw cross-host RTT, 2026-09-27T00:30:39+09:00, SHA 5b4fdc84a104c61f1acc00badbe0564ab2c206bc, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off, executor-poll arms: off on, rmws: rmw_tickle ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 5b4fdc84a104c61f1acc00badbe0564ab2c206bc on both rpis ---
built on tickle-testbed-rpi-0 at 5b4fdc84
built on tickle-testbed-rpi-1 at 5b4fdc84
rmw_tickle bench best_effort rep1 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.458 rtt_avg_ms=0.506 rtt_max_ms=0.897 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=5.8 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35279164 pong_maxrss_kb=11788
rmw_tickle bench best_effort rep1 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.501 rtt_max_ms=0.740 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=4.9 sleep_us=155.9 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35191122 pong_maxrss_kb=11788
rmw_tickle bench best_effort rep1 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.237 rtt_avg_ms=0.249 rtt_max_ms=0.562 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35181200 pong_maxrss_kb=11796
rmw_tickle bench best_effort rep1 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.226 rtt_avg_ms=0.237 rtt_max_ms=0.430 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34652097 pong_maxrss_kb=11788
rmw_tickle bench reliable rep1 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.465 rtt_avg_ms=0.504 rtt_max_ms=0.673 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.0 sleep_us=155.9 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34761497 pong_maxrss_kb=11820
rmw_tickle bench reliable rep1 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.507 rtt_max_ms=0.797 LOOP: poll_sleep_us=100 iterations_per_rtt=3.03 spin_some_us=5.8 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35662830 pong_maxrss_kb=11820
rmw_tickle bench reliable rep1 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.226 rtt_avg_ms=0.255 rtt_max_ms=0.568 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34178319 pong_maxrss_kb=11824
rmw_tickle bench reliable rep1 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.230 rtt_avg_ms=0.240 rtt_max_ms=0.458 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34009462 pong_maxrss_kb=11816
rmw_tickle array1k best_effort rep1 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.463 rtt_avg_ms=0.507 rtt_max_ms=0.881 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.0 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35135877 pong_maxrss_kb=11796
rmw_tickle array1k best_effort rep1 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.507 rtt_max_ms=0.732 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.3 sleep_us=156.3 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35192828 pong_maxrss_kb=11792
rmw_tickle array1k best_effort rep1 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.257 rtt_avg_ms=0.273 rtt_max_ms=0.631 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34216401 pong_maxrss_kb=11796
rmw_tickle array1k best_effort rep1 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.236 rtt_avg_ms=0.261 rtt_max_ms=0.542 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35026619 pong_maxrss_kb=11792
rmw_tickle array1k reliable rep1 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.461 rtt_avg_ms=0.507 rtt_max_ms=0.872 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.2 sleep_us=156.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35153514 pong_maxrss_kb=11820
rmw_tickle array1k reliable rep1 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.463 rtt_avg_ms=0.510 rtt_max_ms=0.716 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.6 sleep_us=156.6 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35609546 pong_maxrss_kb=11816
rmw_tickle array1k reliable rep1 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.254 rtt_avg_ms=0.274 rtt_max_ms=0.601 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35484328 pong_maxrss_kb=11816
rmw_tickle array1k reliable rep1 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.251 rtt_avg_ms=0.265 rtt_max_ms=0.499 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=36072219 pong_maxrss_kb=11816
rmw_tickle bench best_effort rep2 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.506 rtt_max_ms=0.716 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.1 sleep_us=156.3 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=33973976 pong_maxrss_kb=11792
rmw_tickle bench best_effort rep2 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.458 rtt_avg_ms=0.506 rtt_max_ms=0.742 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=5.8 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=33952072 pong_maxrss_kb=11784
rmw_tickle bench best_effort rep2 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.229 rtt_avg_ms=0.251 rtt_max_ms=0.523 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35206543 pong_maxrss_kb=11788
rmw_tickle bench best_effort rep2 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.224 rtt_avg_ms=0.242 rtt_max_ms=0.466 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.03 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34653913 pong_maxrss_kb=11792
