=== rmw cross-host RTT, 2026-09-26T17:07:46+09:00, SHA 9e9893073c3fc585cf2e3944c7ec86122420d51a, 3 reps, msgs: bench, spin arms: off, trace: 0 ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 9e9893073c3fc585cf2e3944c7ec86122420d51a on both rpis ---
built on tickle-testbed-rpi-0 at 9e989307
built on tickle-testbed-rpi-1 at 9e989307
rmw_tickle@default bench best_effort rep1 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.471 rtt_avg_ms=0.515 rtt_max_ms=0.922 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_cpu_ns=34846488 pong_maxrss_kb=11760
rmw_tickle@trace bench best_effort rep1 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.505 rtt_max_ms=0.822 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11520  pong_cpu_s=0.03 pong_cpu_ns=34390748 pong_maxrss_kb=11788
rmw_tickle@trace_rxb8 bench best_effort rep1 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.503 rtt_max_ms=0.758 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11776  pong_cpu_s=0.02 pong_cpu_ns=34662003 pong_maxrss_kb=12172
rmw_fastrtps_cpp bench best_effort rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.421 rtt_avg_ms=0.473 rtt_max_ms=0.787 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23864  pong_cpu_s=0.04 pong_cpu_ns=55956524 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep1 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.378 rtt_avg_ms=0.426 rtt_max_ms=0.667 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_cpu_s=0.04 pong_cpu_ns=42769857 pong_maxrss_kb=14536
rmw_tickle@default bench reliable rep1 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.503 rtt_max_ms=0.701 ping_utime_s=0.00 ping_stime_s=0.03 ping_maxrss_kb=11392  pong_cpu_s=0.02 pong_cpu_ns=34196396 pong_maxrss_kb=11792
rmw_tickle@trace bench reliable rep1 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.516 rtt_max_ms=0.752 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.03 pong_cpu_ns=37821166 pong_maxrss_kb=11820
rmw_tickle@trace_rxb8 bench reliable rep1 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.475 rtt_avg_ms=0.514 rtt_max_ms=0.751 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11776  pong_cpu_s=0.02 pong_cpu_ns=34831534 pong_maxrss_kb=12200
rmw_fastrtps_cpp bench reliable rep1 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.447 rtt_avg_ms=0.496 rtt_max_ms=0.790 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23892  pong_cpu_s=0.05 pong_cpu_ns=59469353 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep1 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.374 rtt_avg_ms=0.429 rtt_max_ms=0.966 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=15104  pong_cpu_s=0.03 pong_cpu_ns=47713369 pong_maxrss_kb=14552
rmw_tickle@default bench best_effort rep2 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.504 rtt_max_ms=0.734 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_cpu_s=0.02 pong_cpu_ns=34419342 pong_maxrss_kb=11760
rmw_tickle@trace bench best_effort rep2 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.464 rtt_avg_ms=0.510 rtt_max_ms=0.772 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.02 pong_cpu_ns=33992158 pong_maxrss_kb=11788
rmw_tickle@trace_rxb8 bench best_effort rep2 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.505 rtt_max_ms=0.751 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11776  pong_cpu_s=0.02 pong_cpu_ns=35411407 pong_maxrss_kb=12172
rmw_fastrtps_cpp bench best_effort rep2 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.438 rtt_avg_ms=0.476 rtt_max_ms=0.789 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23856  pong_cpu_s=0.05 pong_cpu_ns=56011402 pong_maxrss_kb=23616
rmw_cyclonedds_cpp bench best_effort rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.384 rtt_avg_ms=0.424 rtt_max_ms=0.537 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_cpu_s=0.04 pong_cpu_ns=42055881 pong_maxrss_kb=14536
rmw_tickle@default bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.506 rtt_max_ms=0.845 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11520  pong_cpu_s=0.02 pong_cpu_ns=34451411 pong_maxrss_kb=11792
rmw_tickle@trace bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.468 rtt_avg_ms=0.512 rtt_max_ms=0.748 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.03 pong_cpu_ns=34548984 pong_maxrss_kb=11812
rmw_tickle@trace_rxb8 bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.465 rtt_avg_ms=0.508 rtt_max_ms=0.734 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11776  pong_cpu_s=0.03 pong_cpu_ns=34549404 pong_maxrss_kb=12204
rmw_fastrtps_cpp bench reliable rep2 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.443 rtt_avg_ms=0.486 rtt_max_ms=0.811 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23916  pong_cpu_s=0.05 pong_cpu_ns=60575625 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.379 rtt_avg_ms=0.427 rtt_max_ms=0.970 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_cpu_s=0.03 pong_cpu_ns=46812043 pong_maxrss_kb=14544
