=== rmw cross-host RTT, 2026-09-26T21:17:41+09:00, SHA 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll, poll sleeps: 0 50 100 200, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50 on both rpis ---
built on tickle-testbed-rpi-0 at 099374d2
built on tickle-testbed-rpi-1 at 099374d2
rmw_tickle bench best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.225 rtt_avg_ms=0.249 rtt_max_ms=0.625 LOOP: poll_sleep_us=0 iterations_per_rtt=99.80 spin_some_us=2.1 sleep_us=0.1 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34507740 pong_maxrss_kb=11716
rmw_fastrtps_cpp bench best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.299 rtt_avg_ms=0.317 rtt_max_ms=0.641 LOOP: poll_sleep_us=0 iterations_per_rtt=4.04 spin_some_us=69.2 sleep_us=0.1 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23764  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56898312 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.240 rtt_avg_ms=0.274 rtt_max_ms=0.359 LOOP: poll_sleep_us=0 iterations_per_rtt=4.15 spin_some_us=59.9 sleep_us=0.1 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=44986727 pong_maxrss_kb=14536
rmw_tickle bench best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.305 rtt_avg_ms=0.363 rtt_max_ms=0.765 LOOP: poll_sleep_us=50 iterations_per_rtt=3.09 spin_some_us=5.7 sleep_us=106.3 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35259800 pong_maxrss_kb=11700
rmw_fastrtps_cpp bench best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.398 rtt_avg_ms=0.445 rtt_max_ms=0.824 LOOP: poll_sleep_us=50 iterations_per_rtt=2.27 spin_some_us=72.4 sleep_us=108.0 ping_utime_s=0.02 ping_stime_s=0.04 ping_maxrss_kb=23892  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56044813 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.335 rtt_avg_ms=0.399 rtt_max_ms=0.536 LOOP: poll_sleep_us=50 iterations_per_rtt=2.21 spin_some_us=62.5 sleep_us=106.6 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=44394115 pong_maxrss_kb=14532
rmw_tickle bench best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.508 rtt_max_ms=0.877 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.1 sleep_us=156.4 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35581523 pong_maxrss_kb=11716
rmw_fastrtps_cpp bench best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.439 rtt_avg_ms=0.478 rtt_max_ms=0.815 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=59.1 sleep_us=159.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23764  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=57466266 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.395 rtt_avg_ms=0.432 rtt_max_ms=0.672 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=44.5 sleep_us=156.4 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42852279 pong_maxrss_kb=14536
rmw_tickle bench best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.503 rtt_avg_ms=0.546 rtt_max_ms=0.894 LOOP: poll_sleep_us=200 iterations_per_rtt=2.01 spin_some_us=7.7 sleep_us=255.6 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34662353 pong_maxrss_kb=11712
rmw_fastrtps_cpp bench best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.602 rtt_avg_ms=0.650 rtt_max_ms=1.028 LOOP: poll_sleep_us=200 iterations_per_rtt=2.01 spin_some_us=48.6 sleep_us=257.2 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=23768  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56146752 pong_maxrss_kb=23620
