=== rmw cross-host RTT, 2026-09-26T22:50:52+09:00, SHA ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c on both rpis ---
built on tickle-testbed-rpi-0 at ec82de1f
built on tickle-testbed-rpi-1 at ec82de1f
rmw_tickle bench best_effort rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.513 rtt_max_ms=0.944 LOOP: poll_sleep_us=100 iterations_per_rtt=3.07 spin_some_us=5.8 sleep_us=155.9 ping_utime_s=0.00 ping_stime_s=0.03 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36371322 pong_maxrss_kb=11752
rmw_fastrtps_cpp bench best_effort rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.467 rtt_max_ms=0.789 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=55.9 sleep_us=157.5 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23920  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=55624106 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.377 rtt_avg_ms=0.426 rtt_max_ms=0.521 LOOP: poll_sleep_us=100 iterations_per_rtt=2.00 spin_some_us=44.4 sleep_us=156.2 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42054560 pong_maxrss_kb=14532
rmw_tickle bench best_effort rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.228 rtt_avg_ms=0.248 rtt_max_ms=0.577 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42632962 pong_maxrss_kb=11760
rmw_fastrtps_cpp bench best_effort rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.294 rtt_avg_ms=0.311 rtt_max_ms=0.636 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23892  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56797449 pong_maxrss_kb=23624
rmw_cyclonedds_cpp bench best_effort rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.245 rtt_avg_ms=0.270 rtt_max_ms=0.383 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14716  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42950346 pong_maxrss_kb=14524
rmw_tickle bench reliable rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.458 rtt_avg_ms=0.507 rtt_max_ms=0.837 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.3 sleep_us=156.1 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36931328 pong_maxrss_kb=11784
rmw_fastrtps_cpp bench reliable rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.430 rtt_avg_ms=0.494 rtt_max_ms=0.764 LOOP: poll_sleep_us=100 iterations_per_rtt=2.06 spin_some_us=62.3 sleep_us=157.1 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=23912  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60629682 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench reliable rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.385 rtt_avg_ms=0.436 rtt_max_ms=1.108 LOOP: poll_sleep_us=100 iterations_per_rtt=2.04 spin_some_us=42.5 sleep_us=156.3 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=48519095 pong_maxrss_kb=14548
rmw_tickle bench reliable rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.238 rtt_avg_ms=0.250 rtt_max_ms=0.551 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35300843 pong_maxrss_kb=11788
rmw_fastrtps_cpp bench reliable rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.294 rtt_avg_ms=0.331 rtt_max_ms=0.660 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23916  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61456374 pong_maxrss_kb=23632
