=== rmw cross-host RTT, 2026-09-26T19:58:49+09:00, SHA 75e39a61b61288f100526d84051d44b5bf96d61d, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 75e39a61b61288f100526d84051d44b5bf96d61d on both rpis ---
built on tickle-testbed-rpi-0 at 75e39a61
built on tickle-testbed-rpi-1 at 75e39a61
rmw_tickle bench best_effort rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.458 rtt_avg_ms=0.506 rtt_max_ms=0.830 LOOP: iterations_per_rtt=3.02 spin_some_us=6.1 sleep_us=156.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34268453 pong_maxrss_kb=11764
rmw_fastrtps_cpp bench best_effort rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.419 rtt_avg_ms=0.471 rtt_max_ms=0.753 LOOP: iterations_per_rtt=2.01 spin_some_us=59.7 sleep_us=157.0 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=23764  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=57436017 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench best_effort rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.396 rtt_avg_ms=0.433 rtt_max_ms=0.648 LOOP: iterations_per_rtt=2.02 spin_some_us=45.1 sleep_us=156.6 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=43854193 pong_maxrss_kb=14532
rmw_tickle bench best_effort rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.237 rtt_avg_ms=0.253 rtt_max_ms=0.568 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35926685 pong_maxrss_kb=11760
rmw_fastrtps_cpp bench best_effort rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.304 rtt_avg_ms=0.319 rtt_max_ms=0.583 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23792  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56570104 pong_maxrss_kb=23624
rmw_cyclonedds_cpp bench best_effort rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.238 rtt_avg_ms=0.270 rtt_max_ms=0.365 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=42344089 pong_maxrss_kb=14532
rmw_tickle bench reliable rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.503 rtt_max_ms=0.697 LOOP: iterations_per_rtt=3.01 spin_some_us=5.2 sleep_us=156.1 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34748543 pong_maxrss_kb=11780
rmw_fastrtps_cpp bench reliable rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.455 rtt_avg_ms=0.499 rtt_max_ms=0.775 LOOP: iterations_per_rtt=2.03 spin_some_us=64.0 sleep_us=159.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23916  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60693449 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.385 rtt_avg_ms=0.433 rtt_max_ms=0.965 LOOP: iterations_per_rtt=2.03 spin_some_us=42.2 sleep_us=155.8 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=48035970 pong_maxrss_kb=14516
rmw_tickle bench reliable rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.227 rtt_avg_ms=0.250 rtt_max_ms=0.534 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35419126 pong_maxrss_kb=11792
rmw_fastrtps_cpp bench reliable rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.311 rtt_avg_ms=0.333 rtt_max_ms=0.592 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23884  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60839746 pong_maxrss_kb=23628
