=== rmw cross-host RTT, 2026-09-26T16:15:14+09:00, SHA 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8, 3 reps, msgs: bench, spin arms: off on, trace: 0 ===
--- SKIP_BUILD: both rpis already at 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8 with binaries ---
rmw_tickle bench best_effort rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.515 rtt_max_ms=0.766
rmw_fastrtps_cpp bench best_effort rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.416 rtt_avg_ms=0.474 rtt_max_ms=0.755
rmw_cyclonedds_cpp bench best_effort rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.395 rtt_avg_ms=0.428 rtt_max_ms=0.533
rmw_tickle bench reliable rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.501 rtt_max_ms=0.703
rmw_fastrtps_cpp bench reliable rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.424 rtt_avg_ms=0.485 rtt_max_ms=0.782
rmw_cyclonedds_cpp bench reliable rep1 spin=off freq_khz=1500000,2400000 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.379 rtt_avg_ms=0.436 rtt_max_ms=0.959
rmw_tickle bench best_effort rep1 spin=on freq_khz=2400000,2400000 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.453 rtt_avg_ms=0.487 rtt_max_ms=0.710
rmw_fastrtps_cpp bench best_effort rep1 spin=on freq_khz=2400000,2400000 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.363 rtt_avg_ms=0.414 rtt_max_ms=0.697
rmw_cyclonedds_cpp bench best_effort rep1 spin=on freq_khz=2400000,2400000 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.364 rtt_avg_ms=0.394 rtt_max_ms=0.496
rmw_tickle bench reliable rep1 spin=on freq_khz=2400000,2400000 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.464 rtt_avg_ms=0.487 rtt_max_ms=0.744
rmw_fastrtps_cpp bench reliable rep1 spin=on freq_khz=2400000,2400000 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.392 rtt_avg_ms=0.427 rtt_max_ms=0.704
