=== RTT spacing dose-response, 2026-09-25T19:20:16+09:00 ===
harness=4baa3b76  oldcore=9a230a1b  new=4baa3b76  runs=20 per combination

--- building old ---
  core has until_next_event: 0
0  (expect 0 for old, >0 for new)

OLD s=0.1 IDENT | ppoll=65911 sent=100 cpu_mhz_mean=1660.0 
OLD s=0.1 run1 | sent=100 recv=100 rtt_avg_ms=0.206 rtt_max_ms=0.327 cpu_mhz_mean=1599.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run2 | sent=100 recv=100 rtt_avg_ms=0.204 rtt_max_ms=0.306 cpu_mhz_mean=1608.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run3 | sent=100 recv=100 rtt_avg_ms=0.204 rtt_max_ms=0.309 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run4 | sent=100 recv=100 rtt_avg_ms=0.209 rtt_max_ms=0.425 cpu_mhz_mean=1607.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run5 | sent=100 recv=100 rtt_avg_ms=0.205 rtt_max_ms=0.312 cpu_mhz_mean=1607.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run6 | sent=100 recv=100 rtt_avg_ms=0.210 rtt_max_ms=0.460 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run7 | sent=100 recv=100 rtt_avg_ms=0.209 rtt_max_ms=0.463 cpu_mhz_mean=1598.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run8 | sent=100 recv=100 rtt_avg_ms=0.205 rtt_max_ms=0.305 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run9 | sent=100 recv=100 rtt_avg_ms=0.205 rtt_max_ms=0.323 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=0.1 run10 | sent=100 recv=100 rtt_avg_ms=0.205 rtt_max_ms=0.312 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
