=== COMPARISON.MD native re-sweep, 2026-09-24T22:54:39+09:00, 3 reps, main 659013e9cf85beb646e625f35693eae0c37e431b ===
--- deploying 659013e9cf85beb646e625f35693eae0c37e431b and building every scenario for all three frameworks on both rpis ---
659013e9cf85beb646e625f35693eae0c37e431b client / 659013e9cf85beb646e625f35693eae0c37e431b server

=== A: section 3 scenarios ===
A best_effort_latency rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=best_effort_latency sent=100 recv=46 loss_pct=54 rtt_min_ms=0.196 rtt_avg_ms=0.207 rtt_max_ms=0.350 RESULT: framework=tickle scenario=best_effort_latency role=server 
A best_effort_latency rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=best_effort_latency sent=95 recv=94 loss_pct=1 rtt_min_ms=0.231 rtt_avg_ms=0.243 rtt_max_ms=0.369 
A best_effort_latency rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=best_effort_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.244 rtt_avg_ms=0.279 rtt_max_ms=0.600 
A best_effort_latency rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=best_effort_latency sent=100 recv=47 loss_pct=53 rtt_min_ms=0.196 rtt_avg_ms=0.211 rtt_max_ms=0.546 RESULT: framework=tickle scenario=best_effort_latency role=server 
A best_effort_latency rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=best_effort_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.225 rtt_avg_ms=0.241 rtt_max_ms=0.304 
A best_effort_latency rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=best_effort_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.259 rtt_avg_ms=0.278 rtt_max_ms=0.680 
A best_effort_latency rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=best_effort_latency sent=100 recv=47 loss_pct=53 rtt_min_ms=0.195 rtt_avg_ms=0.210 rtt_max_ms=0.523 RESULT: framework=tickle scenario=best_effort_latency role=server 
A best_effort_latency rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=best_effort_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.231 rtt_avg_ms=0.243 rtt_max_ms=0.295 
A best_effort_latency rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=best_effort_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.243 rtt_avg_ms=0.268 rtt_max_ms=0.648 
A reliable_latency rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=reliable_latency sent=100 recv=47 loss_pct=53 rtt_min_ms=0.196 rtt_avg_ms=0.210 rtt_max_ms=0.428 RESULT: framework=tickle scenario=reliable_latency role=server 
A reliable_latency rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=reliable_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.239 rtt_avg_ms=0.255 rtt_max_ms=0.721 
A reliable_latency rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=reliable_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.250 rtt_avg_ms=0.289 rtt_max_ms=0.634 
A reliable_latency rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=reliable_latency sent=100 recv=46 loss_pct=54 rtt_min_ms=0.193 rtt_avg_ms=0.208 rtt_max_ms=0.414 RESULT: framework=tickle scenario=reliable_latency role=server 
A reliable_latency rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=reliable_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.230 rtt_avg_ms=0.258 rtt_max_ms=0.743 
A reliable_latency rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=reliable_latency sent=100 recv=100 loss_pct=0 rtt_min_ms=0.264 rtt_avg_ms=0.283 rtt_max_ms=0.602 
A reliable_latency rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=reliable_latency sent=100 recv=47 loss_pct=53 rtt_min_ms=0.197 rtt_avg_ms=0.210 rtt_max_ms=0.450 RESULT: framework=tickle scenario=reliable_latency role=server 
