# sizeof probe, x86_64, limit 65507 B (tt_MAX_BUFFER_LENGTH)
example_interfaces/msg/WString	-	NOT_GENERATED	UnsupportedFieldError: field 'data': wstring is out of scope
action_msgs/msg/GoalInfo	24	CREATE_OK	max_wire_size 24
action_msgs/msg/GoalStatus	28	CREATE_OK	max_wire_size 25
action_msgs/msg/GoalStatusArray	1796	CREATE_OK	max_wire_size 1796
action_msgs/srv/CancelGoal_Request	24	CREATE_OK	max_wire_size 24
action_msgs/srv/CancelGoal_Response	1540	CREATE_OK	max_wire_size 1540
actionlib_msgs/msg/GoalID	16	CREATE_OK	max_wire_size 10
actionlib_msgs/msg/GoalStatus	28	CREATE_OK	max_wire_size 14
actionlib_msgs/msg/GoalStatusArray	468	CREATE_OK	max_wire_size 268
builtin_interfaces/msg/Duration	8	CREATE_OK	max_wire_size 8
builtin_interfaces/msg/Time	8	CREATE_OK	max_wire_size 8
composition_interfaces/srv/ListNodes_Request	1	CREATE_OK	max_wire_size 0
composition_interfaces/srv/ListNodes_Response	264	CREATE_OK	max_wire_size 164
composition_interfaces/srv/LoadNode_Request	748	CREATE_OK	max_wire_size 516
composition_interfaces/srv/LoadNode_Response	28	CREATE_OK	max_wire_size 16
composition_interfaces/srv/UnloadNode_Request	8	CREATE_OK	max_wire_size 8
composition_interfaces/srv/UnloadNode_Response	12	CREATE_OK	max_wire_size 4
diagnostic_msgs/msg/DiagnosticArray	660	CREATE_OK	max_wire_size 180
diagnostic_msgs/msg/DiagnosticStatus	160	CREATE_OK	max_wire_size 42
diagnostic_msgs/msg/KeyValue	16	CREATE_OK	max_wire_size 4
diagnostic_msgs/srv/AddDiagnostics_Request	8	CREATE_OK	max_wire_size 2
diagnostic_msgs/srv/AddDiagnostics_Response	12	CREATE_OK	max_wire_size 4
diagnostic_msgs/srv/SelfTest_Request	1	CREATE_OK	max_wire_size 0
diagnostic_msgs/srv/SelfTest_Response	652	CREATE_OK	max_wire_size 174
example_interfaces/msg/Bool	1	CREATE_OK	max_wire_size 1
example_interfaces/msg/Byte	1	CREATE_OK	max_wire_size 1
